60-month running mean of global-average temperature anomaly (degrees C)
Anomaly is relative to 1991-2020. Add 0.88 for values relative to 1850-1900 reference level. -999 denotes no value
 
start year,month,end year,month,ERA5,JRA-3Q,Berkeley Earth,GISTEMP,HadCRUT5,NOAAGlobalTemp,HadCRUT5 min,HadCRUT5 max
1850,  1, 1854, 12,  -999.000,  -999.000,    -0.873,  -999.000,    -0.830,    -0.730,    -0.944,    -0.698, 
1850,  2, 1855,  1,  -999.000,  -999.000,    -0.863,  -999.000,    -0.821,    -0.724,    -0.933,    -0.686, 
1850,  3, 1855,  2,  -999.000,  -999.000,    -0.863,  -999.000,    -0.821,    -0.722,    -0.933,    -0.686, 
1850,  4, 1855,  3,  -999.000,  -999.000,    -0.861,  -999.000,    -0.817,    -0.719,    -0.928,    -0.684, 
1850,  5, 1855,  4,  -999.000,  -999.000,    -0.855,  -999.000,    -0.810,    -0.714,    -0.921,    -0.676, 
1850,  6, 1855,  5,  -999.000,  -999.000,    -0.850,  -999.000,    -0.807,    -0.711,    -0.918,    -0.673, 
1850,  7, 1855,  6,  -999.000,  -999.000,    -0.851,  -999.000,    -0.807,    -0.710,    -0.918,    -0.676, 
1850,  8, 1855,  7,  -999.000,  -999.000,    -0.854,  -999.000,    -0.811,    -0.712,    -0.920,    -0.681, 
1850,  9, 1855,  8,  -999.000,  -999.000,    -0.855,  -999.000,    -0.812,    -0.713,    -0.920,    -0.683, 
1850, 10, 1855,  9,  -999.000,  -999.000,    -0.856,  -999.000,    -0.810,    -0.713,    -0.918,    -0.683, 
1850, 11, 1855, 10,  -999.000,  -999.000,    -0.852,  -999.000,    -0.803,    -0.707,    -0.911,    -0.676, 
1850, 12, 1855, 11,  -999.000,  -999.000,    -0.851,  -999.000,    -0.804,    -0.705,    -0.914,    -0.676, 
1851,  1, 1855, 12,  -999.000,  -999.000,    -0.852,  -999.000,    -0.804,    -0.707,    -0.915,    -0.678, 
1851,  2, 1856,  1,  -999.000,  -999.000,    -0.849,  -999.000,    -0.802,    -0.701,    -0.912,    -0.678, 
1851,  3, 1856,  2,  -999.000,  -999.000,    -0.849,  -999.000,    -0.800,    -0.700,    -0.910,    -0.677, 
1851,  4, 1856,  3,  -999.000,  -999.000,    -0.848,  -999.000,    -0.794,    -0.698,    -0.902,    -0.674, 
1851,  5, 1856,  4,  -999.000,  -999.000,    -0.845,  -999.000,    -0.790,    -0.695,    -0.896,    -0.669, 
1851,  6, 1856,  5,  -999.000,  -999.000,    -0.845,  -999.000,    -0.792,    -0.694,    -0.896,    -0.672, 
1851,  7, 1856,  6,  -999.000,  -999.000,    -0.845,  -999.000,    -0.793,    -0.692,    -0.897,    -0.677, 
1851,  8, 1856,  7,  -999.000,  -999.000,    -0.846,  -999.000,    -0.796,    -0.696,    -0.901,    -0.681, 
1851,  9, 1856,  8,  -999.000,  -999.000,    -0.850,  -999.000,    -0.798,    -0.702,    -0.905,    -0.684, 
1851, 10, 1856,  9,  -999.000,  -999.000,    -0.855,  -999.000,    -0.804,    -0.706,    -0.911,    -0.694, 
1851, 11, 1856, 10,  -999.000,  -999.000,    -0.864,  -999.000,    -0.812,    -0.715,    -0.917,    -0.703, 
1851, 12, 1856, 11,  -999.000,  -999.000,    -0.869,  -999.000,    -0.819,    -0.717,    -0.923,    -0.710, 
1852,  1, 1856, 12,  -999.000,  -999.000,    -0.876,  -999.000,    -0.822,    -0.718,    -0.928,    -0.711, 
1852,  2, 1857,  1,  -999.000,  -999.000,    -0.881,  -999.000,    -0.824,    -0.720,    -0.929,    -0.715, 
1852,  3, 1857,  2,  -999.000,  -999.000,    -0.882,  -999.000,    -0.824,    -0.722,    -0.926,    -0.716, 
1852,  4, 1857,  3,  -999.000,  -999.000,    -0.881,  -999.000,    -0.822,    -0.718,    -0.927,    -0.712, 
1852,  5, 1857,  4,  -999.000,  -999.000,    -0.885,  -999.000,    -0.822,    -0.717,    -0.928,    -0.713, 
1852,  6, 1857,  5,  -999.000,  -999.000,    -0.895,  -999.000,    -0.831,    -0.721,    -0.935,    -0.723, 
1852,  7, 1857,  6,  -999.000,  -999.000,    -0.903,  -999.000,    -0.835,    -0.726,    -0.939,    -0.727, 
1852,  8, 1857,  7,  -999.000,  -999.000,    -0.912,  -999.000,    -0.842,    -0.730,    -0.944,    -0.734, 
1852,  9, 1857,  8,  -999.000,  -999.000,    -0.915,  -999.000,    -0.846,    -0.735,    -0.948,    -0.737, 
1852, 10, 1857,  9,  -999.000,  -999.000,    -0.918,  -999.000,    -0.852,    -0.739,    -0.955,    -0.742, 
1852, 11, 1857, 10,  -999.000,  -999.000,    -0.924,  -999.000,    -0.858,    -0.744,    -0.962,    -0.750, 
1852, 12, 1857, 11,  -999.000,  -999.000,    -0.926,  -999.000,    -0.863,    -0.747,    -0.967,    -0.754, 
1853,  1, 1857, 12,  -999.000,  -999.000,    -0.932,  -999.000,    -0.869,    -0.747,    -0.972,    -0.760, 
1853,  2, 1858,  1,  -999.000,  -999.000,    -0.932,  -999.000,    -0.871,    -0.747,    -0.972,    -0.763, 
1853,  3, 1858,  2,  -999.000,  -999.000,    -0.935,  -999.000,    -0.872,    -0.746,    -0.972,    -0.763, 
1853,  4, 1858,  3,  -999.000,  -999.000,    -0.935,  -999.000,    -0.876,    -0.744,    -0.974,    -0.767, 
1853,  5, 1858,  4,  -999.000,  -999.000,    -0.938,  -999.000,    -0.876,    -0.743,    -0.973,    -0.770, 
1853,  6, 1858,  5,  -999.000,  -999.000,    -0.941,  -999.000,    -0.881,    -0.748,    -0.978,    -0.777, 
1853,  7, 1858,  6,  -999.000,  -999.000,    -0.943,  -999.000,    -0.886,    -0.750,    -0.982,    -0.780, 
1853,  8, 1858,  7,  -999.000,  -999.000,    -0.949,  -999.000,    -0.890,    -0.755,    -0.986,    -0.785, 
1853,  9, 1858,  8,  -999.000,  -999.000,    -0.953,  -999.000,    -0.894,    -0.758,    -0.992,    -0.790, 
1853, 10, 1858,  9,  -999.000,  -999.000,    -0.954,  -999.000,    -0.895,    -0.760,    -0.992,    -0.792, 
1853, 11, 1858, 10,  -999.000,  -999.000,    -0.952,  -999.000,    -0.893,    -0.760,    -0.991,    -0.789, 
1853, 12, 1858, 11,  -999.000,  -999.000,    -0.947,  -999.000,    -0.892,    -0.760,    -0.991,    -0.785, 
1854,  1, 1858, 12,  -999.000,  -999.000,    -0.950,  -999.000,    -0.894,    -0.762,    -0.995,    -0.787, 
1854,  2, 1859,  1,  -999.000,  -999.000,    -0.948,  -999.000,    -0.894,    -0.760,    -0.997,    -0.786, 
1854,  3, 1859,  2,  -999.000,  -999.000,    -0.945,  -999.000,    -0.894,    -0.758,    -0.998,    -0.786, 
1854,  4, 1859,  3,  -999.000,  -999.000,    -0.945,  -999.000,    -0.895,    -0.757,    -1.000,    -0.786, 
1854,  5, 1859,  4,  -999.000,  -999.000,    -0.940,  -999.000,    -0.892,    -0.756,    -0.998,    -0.782, 
1854,  6, 1859,  5,  -999.000,  -999.000,    -0.936,  -999.000,    -0.890,    -0.754,    -0.995,    -0.778, 
1854,  7, 1859,  6,  -999.000,  -999.000,    -0.931,  -999.000,    -0.889,    -0.753,    -0.992,    -0.779, 
