COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
Australia,JAN2010,January 2010,2010,1,January,Hydro,990.728,1,16471.891,,0.04777072935264173
Australia,JAN2010,January 2010,2010,1,January,Wind,409.469,2,4940.909,,0.01974369632966552
Australia,JAN2010,January 2010,2010,1,January,Solar,49.216,3,908.238,,0.0023730874829616362
Australia,JAN2010,January 2010,2010,1,January,Geothermal,0.083,4,0.996,,4.002077801646127e-06
Australia,JAN2010,January 2010,2010,1,January,Total combustible fuels,19289.73,7,214302.969,,0.9301084365391247
Australia,JAN2010,January 2010,2010,1,January,Coal,14796.776,8,163887.775,,0.7134680574160261
Australia,JAN2010,January 2010,2010,1,January,Oil,732.302,9,2447.778,,0.035309994919289905
Australia,JAN2010,January 2010,2010,1,January,Natural gas,3544.365,10,45678.585,,0.17090149984857197
Australia,JAN2010,January 2010,2010,1,January,Combustible renewables,216.287,11,2288.826,,0.010428884355236577
Australia,JAN2010,January 2010,2010,1,January,Net electricity production,20739.227,14,236625.007,,1
Australia,JAN2010,January 2010,2010,1,January,Electricity supplied,20739.227,17,236625.007,,1
Australia,JAN2010,January 2010,2010,1,January,Used for pumped storage,6.75,18,153.346,,0.0003254701826639923
Australia,JAN2010,January 2010,2010,1,January,Distribution losses,1414.546,19,16380.629,,0.06820630296394364
Australia,JAN2010,January 2010,2010,1,January,Final consumption,19317.931,20,220091.029,,0.9314682268533925
Australia,JAN2010,January 2010,2010,1,January,Renewables,1665.783,22,24610.86,,0.08032039959830711
Australia,JAN2010,January 2010,2010,1,January,Non-renewables,19073.443,23,212014.138,,0.9196795521838881
Australia,JAN2010,January 2010,2010,1,January,Others,732.302,24,2447.778,,0.035309994919289905
Australia,JAN2010,January 2010,2010,1,January,Other renewables aggregated,216.37,25,2289.822,,0.010432886433038224
Australia,JAN2010,January 2010,2010,1,January,Low carbon,1665.783,26,24610.86,,0.08032039959830711
Australia,JAN2010,January 2010,2010,1,January,Fossil fuels,19073.443,27,212014.138,,0.9196795521838881
Austria,JAN2010,January 2010,2010,1,January,Hydro,2579.264,1,39502.566,,0.43705479282605375
Austria,JAN2010,January 2010,2010,1,January,Wind,200.966,2,1961.814,,0.03405357245131972
